"","Uniprot_Symbol","prot_log2FC_comp9","rna_log2FC_comp9","prot_log2FC_comp10","rna_log2FC_comp10","prot_log2FC_comp11","rna_log2FC_comp11","prot_log2FC_comp12","rna_log2FC_comp12","Ensembl_ID"
"1","Aacs",0.126176902988174,3.78744737995022,0.244405569826924,3.49627956944147,0.737187552731406,3.62178169340056,0.20197291391607,4.08813928116192,"ENSMUSG00000029482"
"2","Abcb4",0.121053686436042,-0.717590865789716,-0.0830847012527194,-0.657061510934901,0.00301441674175962,-0.592939305837509,-0.256087538285147,-0.79529725763555,"ENSMUSG00000042476"
"3","Abcd4",-0.187278649343758,-1.40150395301472,-0.0868024079290546,-1.25080064678997,0.227489191448161,-0.93117403714973,0.205932757130036,-0.730938607287206,"ENSMUSG00000021240"
"4","Acaca",-0.534962230266089,2.82878070208397,-0.216606590502096,2.49761953991248,-0.247685172625886,2.76069493402722,-0.0817997096165293,2.65094979004739,"ENSMUSG00000020532"
"5","Acacb",-0.474609327997527,2.23623037987148,-0.14188722295448,2.05854440415298,-0.333454616912253,2.84880291247516,-0.406832424807678,1.8278631925664,"ENSMUSG00000042010"
"6","Acat2",-0.371053757008415,1.27740170665776,-0.0278395553494626,1.23602602540064,0.279620115632408,1.63809928503128,-0.0244903643386216,1.08583264498469,"ENSMUSG00000023832"
"7","Acly",-0.592668576103602,4.76222215329292,-0.0771214785611498,3.57562041715072,-0.427633049226475,4.14349708140458,-0.110018754886589,3.42856116530733,"ENSMUSG00000020917"
"8","Acot1",-0.595560373197344,-2.75472453331336,0.253802512375614,-1.81006061322398,-0.46658079942943,-4.08936886551309,1.18331412345303,-4.11094397380938,"ENSMUSG00000072949"
"9","Acot11",0.0504847575691407,2.55590251138325,0.166715035694695,1.52563835505095,0.418952601015683,1.98474911230909,-0.0996738533046013,1.9235915890139,"ENSMUSG00000034853"
"10","Acot12",0.0202626003499766,-0.896592680954371,0.00770662226115704,-0.751961711487989,-0.0710214846550805,-1.00905982637886,0.204040682952073,-1.06938485428494,"ENSMUSG00000021620"
"11","Acot2",-0.23028250445369,-1.58529732189843,-0.400262791650739,-1.59312494046845,-0.544222840505455,-2.57248360189967,0.57611796314502,-2.10046248102921,"ENSMUSG00000021226"
"12","Acss2",-0.673733552490862,2.22835994026235,-0.194712367946838,2.05990820876675,-0.435983906585719,2.04062063943386,0.14021655167312,1.47041414851315,"ENSMUSG00000027605"
"13","Actb",-0.0496967835139728,1.11811018579884,0.156115817586148,0.906222107240179,0.235654158531297,1.27338133733258,-0.448471211745048,1.43703989483147,"ENSMUSG00000029580"
"14","Als2",0.134878729556398,1.24248457042271,-0.0164161241085878,1.41448465366296,0.310467681625337,1.10765811204567,0.0615662820801148,1.26086529604236,"ENSMUSG00000026024"
"15","Ampd2",-0.141758172335583,1.07301425151094,-0.150018531295425,0.956423615527835,0.356371138809424,1.17411926915112,0.147498753771536,1.29192283074302,"ENSMUSG00000027889"
"16","Atp7b",0.154494260562821,0.707794393647817,0.124826073869741,0.604071519489471,0.0205094604155622,0.596642104405053,-0.268651560225965,1.20494683739227,"ENSMUSG00000006567"
"17","Avl9",-0.0740332256659286,-1.18589527759734,-0.190809572701109,-0.977036783062451,0.226169605729879,-0.944250965485738,-0.094735008793533,-0.420598612263354,"ENSMUSG00000029787"
"18","Baiap2l1",-0.101611987122716,-0.871791570134254,-0.200058243871688,-0.675226993190692,-0.0200815757725259,-0.878620696254406,-0.132006362578423,-0.989513696450969,"ENSMUSG00000038859"
"19","Brap",-0.445478446575335,-1.45775660945456,-0.145236813541832,-1.32041147981815,-0.310991973131356,-1.40669016188831,-0.206625731281919,-1.27054170153164,"ENSMUSG00000029458"
"20","Ca3",-0.125150595524484,1.21122593900195,0.0882943953264963,2.10849622285203,-0.0810542524601843,0.737580144781488,0.418904519866867,2.20304453100478,"ENSMUSG00000027559"
"21","Cad",-0.0915957282435755,1.6750743139328,0.408369346511797,1.72662515380406,0.410282551651687,1.8257605126577,-0.000350300635101775,1.66047468423426,"ENSMUSG00000013629"
"22","Calr",0.183381915675302,0.933057277743526,0.171511976818987,0.89148007966752,0.38683833029188,1.43245830344471,-0.201482156284527,1.27692945052397,"ENSMUSG00000003814"
"23","Cdk9",-0.0996490199733149,-0.668055388398247,0.137337314897058,-0.47843410502003,-0.0339186361120447,-0.337403444611774,-0.118739580034022,-0.407576335590971,"ENSMUSG00000009555"
"24","Chordc1",0.107672255295757,1.68040728733621,0.310993622793188,1.803448035195,0.293823260484697,1.15281372512485,0.164839359191582,0.924410089852443,"ENSMUSG00000001774"
"25","Cpt1a",0.12459771186677,-1.18269219718309,-0.102464845098137,-1.12857107049361,-0.459526668016476,-1.40915724077182,-0.237114289474963,-1.21551168371049,"ENSMUSG00000024900"
"26","Creld2",0.408932354115091,2.14808942838154,0.580780073182648,2.66873491462974,0.483010529955386,2.51746648692657,0.157949890890237,2.06576820416328,"ENSMUSG00000023272"
"27","Cs",-0.00879630706299039,0.901269555928542,0.089487933795791,1.1161972462624,0.0813144312230705,0.94601001045989,-0.0241970140044927,0.78958941737424,"ENSMUSG00000005683"
"28","Dhcr7",0.010611230518947,1.61996385669306,0.359492172597797,1.40943537473999,-0.221032801709512,2.17673211497253,-0.153852266794999,1.36067958016352,"ENSMUSG00000058454"
"29","Dmd",-0.0631378334651345,1.29311155072639,0.0903916509419354,0.766357545138514,0.0857639905675143,1.05851511694425,-0.0205584007672961,1.08837953151863,"ENSMUSG00000045103"
"30","Echdc1",-0.194516277825485,0.8091092293226,0.0282440239835893,0.87317619381483,0.239067769032975,0.797863307116976,0.12952415717151,0.698439453024999,"ENSMUSG00000019883"
"31","Ehd1",-0.105772575478689,0.743881556256487,-0.00830602344223408,0.687253547029418,0.121396989213167,0.462528948107938,0.132429204220802,0.468509016480827,"ENSMUSG00000024772"
"32","Eif4b",0.239540891235329,-1.21991544026124,-0.00950772808036149,-0.907203375001997,0.351947500368755,-1.06049976253066,0.147304041180092,-1.03538936351916,"ENSMUSG00000058655"
"33","Enpep",-0.417555315924208,1.62055138307162,-0.351940544183584,1.2609452093495,-0.329120747470661,1.30018533755314,-0.40614551299014,1.56052766971136,"ENSMUSG00000028024"
"34","Epm2aip1",-0.147308920917206,1.10383699356864,-0.0611469010162491,0.896126001848177,0.171997185556211,0.798639034836611,0.119823034296898,0.742732684288706,"ENSMUSG00000046785"
"35","Erbin",0.0366326007070494,-0.883996545198794,-0.0772524334895408,-0.842104069673344,0.197477945853487,-0.874474155245605,0.0131059624851417,-0.48205626747921,"ENSMUSG00000021709"
"36","Farp1",0.180000103306369,0.957388785817287,0.0694610404189149,0.788638546327627,-0.154155792608023,0.982321965838691,-0.201542092387996,0.993084692358484,"ENSMUSG00000025555"
"37","Fasn",-0.548099974965311,4.97055725659049,-0.00973172514562748,3.56742989277363,-0.130552942778312,6.86433064666201,0.1890001514655,4.31483450460762,"ENSMUSG00000025153"
"38","Frmd8",0.261852536521245,2.64250590003041,0.533597198702472,2.65019923977297,0.593784268465395,2.15087727442686,0.345441074371577,2.47089292049372,"ENSMUSG00000024816"
"39","Gaa",-0.161718107241487,-0.758070908106388,0.0180961577309269,-0.437116836329106,-0.0605082354161546,-0.538938457977837,-0.0860938083086502,-0.410997772887312,"ENSMUSG00000025579"
"40","Gale",-0.769391762028004,2.67990959159207,-0.0153207704206153,1.79171099251823,0.1236941382741,2.78255125326126,0.258039210946805,1.28841073892422,"ENSMUSG00000028671"
"41","Gck",-0.214307072794401,2.20867468168063,-0.453188037402356,1.96889411698396,-0.303929501172373,2.51171168643375,0.275988718181729,2.75860014245158,"ENSMUSG00000041798"
"42","Gde1",-0.125917836335692,-0.800266408089296,-0.217535987371205,-0.706480950432527,0.148298888879602,-0.727327449977652,-0.0130280295792087,-0.866743844701269,"ENSMUSG00000033917"
"43","Gmppb",-0.523820597802498,1.87101384178647,-0.103549720702169,1.95338933084752,0.172045088833865,1.80698540205248,0.309962199488218,1.85143607642448,"ENSMUSG00000070284"
"44","Got1",-0.568875521743966,-1.96119720379398,0.237793894058839,-1.82468515283183,0.215029418801109,-2.70560094971321,-0.304206321349838,-2.2841699900013,"ENSMUSG00000025190"
"45","Gpat3",0.122322346269812,-1.30365705990918,-0.271315396975677,-1.57085114129943,-0.253112793654008,-2.23614818299618,0.0808199039011193,-1.36048644724664,"ENSMUSG00000029314"
"46","Gpcpd1",-0.286174432277289,-2.38051067650484,-0.238652348814185,-2.47939654055116,0.204535950253707,-2.94643987598452,-0.448929668364018,-2.59744797287711,"ENSMUSG00000027346"
"47","Hdhd3",0.0772876204197495,1.8019895766103,-0.0215399615764476,2.25890180062586,0.0361038585980751,1.92006299033032,0.131436103283715,1.88620554601172,"ENSMUSG00000038422"
"48","Herpud1",-0.10475349140126,-1.21776117388735,-0.138931912176059,-1.40566084108598,0.0183729530120686,-0.981542602376962,0.227160763717169,-1.1219415786318,"ENSMUSG00000031770"
"49","Hnrnpc",0.197573363467793,1.13871807320034,0.0649913187694651,0.728322054892289,0.136291334762326,0.744951823177493,-0.367070718502191,1.13874819280425,"ENSMUSG00000060373"
"50","Hsp90aa1",-0.116030718606812,1.78412287500917,0.0295636853740397,1.84154294054616,0.479164481542767,1.60997944705031,0.256981205971243,0.897821059700787,"ENSMUSG00000021270"
"51","Hspa13",0.313913003083432,1.20106492395115,0.353952904952006,1.08062708695566,0.321814014461705,1.12778113817608,0.0219527095853529,1.21727345028794,"ENSMUSG00000032932"
"52","Hyou1",0.396274536926907,1.853961248082,0.440710714126578,2.11201413682289,0.753209606065852,2.33783140395101,-0.100100099828317,2.26618434510143,"ENSMUSG00000032115"
"53","Iars1",-0.0942298885191839,0.614379522355894,-0.0206292181422292,0.901196622743205,0.148513816174045,0.481454978254678,0.206216925632823,0.638336922432629,"ENSMUSG00000037851"
"54","Idi1",-0.27236057353139,1.34943036707857,-0.0156155847323554,1.07396062453385,0.421727816487017,1.83511584755614,0.257651431072034,0.938731842271262,"ENSMUSG00000058258"
"55","Irgm1",0.271073037303946,1.04581875163287,0.16990441204592,1.12958805934389,0.128771076349761,0.725721623069266,0.123145248948141,0.752145023658874,"ENSMUSG00000046879"
"56","Kcnn2",0.144319373141935,-0.579107908851498,-0.0273376407671257,-0.752970112316953,-0.110472568498722,-0.788759517999566,-0.298111682096325,-0.915795154971503,"ENSMUSG00000054477"
"57","Keg1",-0.258218873595894,1.08692272393928,-0.262011684225993,1.15767212913422,-0.257531843546822,1.39132468313346,-0.0341702630683969,1.66557996892727,"ENSMUSG00000024694"
"58","Lsr",0.109687649434669,0.845456753728949,0.259069153571797,0.873984837732516,-0.00702952541034207,1.13457038808563,-0.177473031831273,0.944464553485737,"ENSMUSG00000001247"
"59","Lss",-0.0194584592317497,1.75204065686564,0.266581310385011,1.61141642019424,-0.024897219185064,1.6477121348908,-0.0625367121252118,1.59181035053753,"ENSMUSG00000033105"
"60","Magt1",0.0190774612529871,0.723898146772555,0.260192922361924,0.783376071666719,0.193948235804175,0.624296460947665,-0.306580064113316,1.04300242137478,"ENSMUSG00000031232"
"61","Manf",0.50551554661094,1.79310186082278,0.246616790247991,1.98087851734287,0.756463044530935,2.3955506284921,0.198148077578615,2.29777490919965,"ENSMUSG00000032575"
"62","Mgat2",0.135773951859232,1.34680863853755,-0.244271013743703,1.08719344113411,0.188792407316605,1.01241984422537,-0.308091324656324,0.960022892373816,"ENSMUSG00000043998"
"63","Mvd",-0.607583616195265,2.43990287184609,-0.414209096071556,2.22592247338479,0.0605039108945462,3.45047696395426,0.366886963071401,2.52093683067323,"ENSMUSG00000006517"
"64","Mybbp1a",0.112086045743389,0.940361012888154,0.0123341822316902,0.895043602208238,0.146789035333335,0.70530590536771,-0.151502861257413,0.59797129911247,"ENSMUSG00000040463"
"65","Nfic",0.139738816590654,0.674514270845769,-0.0751616265982769,0.718034093609947,-0.120908626005633,0.576779617856332,-0.164291081971122,0.740080314125979,"ENSMUSG00000055053"
"66","Npc1",0.0714732502061999,-0.988615103886525,0.092840698343398,-0.966877010730611,-0.219488021865196,-1.00403713377078,-0.167031136852561,-0.50783349009017,"ENSMUSG00000024413"
"67","Nudt7",0.200192721226053,1.84103443657827,0.380931789037671,1.70242427619766,0.347644423156627,2.05779272204108,0.130639044660459,2.37105886194458,"ENSMUSG00000031767"
"68","Nup35",0.386666317510834,1.70417140579978,0.185144406909235,1.26757637813003,0.224432821389893,1.12477811235712,-0.209171960901969,0.857921415287732,"ENSMUSG00000026999"
"69","Opa3",-0.0710835496096287,0.573020196949456,-0.0884725612212058,0.465064103969054,0.150809337864345,0.572512632291998,0.132067830293028,0.490394842157389,"ENSMUSG00000052214"
"70","Osbpl8",0.113903024956734,1.37316663369892,-0.136070493192861,0.930093699684016,-0.174876882351512,1.34936245470425,0.157358733562184,1.29511506454017,"ENSMUSG00000020189"
"71","Paqr9",0.246971081468764,1.01828343491362,0.0853069016090053,1.03270487229556,-0.00360543357083642,0.822063977836458,-0.226161513838207,1.08536296401233,"ENSMUSG00000064225"
"72","Pck1",-1.32350224744594,-5.12772637556728,-0.4058223082308,-3.38275274934975,-0.515366581068054,-4.81810040768415,-0.70729774648785,-2.24897416881158,"ENSMUSG00000027513"
"73","Pdhb",0.0657137530325187,1.25588629173295,0.0580666006245032,0.838462287169932,0.0402301887992564,1.07164534532842,-0.255439254858587,0.803297157424405,"ENSMUSG00000021748"
"74","Pgd",-0.357872382236621,2.19410633677582,-0.0951249733464969,2.48455974836214,-0.185287982636201,2.39359568694613,0.10047141905811,1.86553837720379,"ENSMUSG00000028961"
"75","Pik3r1",-0.147495744877251,1.28047447558411,-0.0622583656897433,0.601442308513658,0.0643215805768289,0.991310330299145,0.0174064340187385,0.830835560228871,"ENSMUSG00000041417"
"76","Pklr",-0.639219339483763,2.83679702815486,-0.255079087765274,2.01419420718555,-0.619825094893312,3.1977576912432,-0.180051384609513,2.5859270516647,"ENSMUSG00000041237"
"77","Pnpla8",0.134287933116571,-0.441153416349423,-0.0736158500485651,-0.419828769530725,-0.105106631383311,-0.331500341658963,0.00728375839894468,-0.35410467202995,"ENSMUSG00000036257"
"78","Por",0.161085784785403,-1.27041851395895,0.129372841062988,-1.32247352490226,0.150080415260483,-1.53813016073165,-0.0150822396810248,-1.91894726635835,"ENSMUSG00000005514"
"79","Ppm1k",-0.289713760613829,-2.46002518086976,-0.0553769735405396,-2.55978103640626,-0.0476419256486196,-1.75654564152086,-0.408677053265347,-1.79839233081949,"ENSMUSG00000037826"
"80","Ptpn3",0.0293768523425015,0.68356872493463,0.256856560251755,0.812789304590688,-0.0710883672551468,0.70823405868954,-0.276781226789728,1.06970114347749,"ENSMUSG00000038764"
"81","Rab30",0.227495317310062,-2.54453732103561,0.444629510496174,-2.30599606859392,0.0269094799485323,-3.21788729860606,-0.308164552506838,-3.19874356953468,"ENSMUSG00000030643"
"82","Ranbp10",-0.0467317453233989,-1.00766118844556,0.18874479376063,-0.983643500941597,0.124254679568844,-0.749255361584841,-0.113070634300222,-0.640721561564511,"ENSMUSG00000037415"
"83","Rdh11",0.0667607710236453,1.36956192106247,0.324838652448449,1.41380355113793,-0.527049319053162,1.82956073613577,0.275838005218134,1.08608527952195,"ENSMUSG00000066441"
"84","Rps6ka1",-0.153414056800196,1.42128628996557,0.144086419978887,0.821173190442892,-0.0585766245681629,1.15490845226171,0.0477388276308783,1.03089643381252,"ENSMUSG00000003644"
"85","Sdf2l1",0.219340587086553,2.22070305036763,0.208932497222648,2.47656045906413,0.788536040543963,3.09471247627179,-0.578408991380442,2.50733053041978,"ENSMUSG00000022769"
"86","Sds",0.416489095311164,-2.94756275894062,-0.0263992677407963,-2.02555087871907,-0.569170254148055,-4.29129561327133,-0.228429274511218,-1.98833883345033,"ENSMUSG00000029597"
"87","Septin9",-0.138956129734883,1.44604331415935,-0.0652676768368039,1.16591108530706,0.364866015734918,1.51063666724672,0.0207106325296067,1.33548389839095,"ENSMUSG00000059248"
"88","Slc25a42",0.00306971632717179,-1.14038567571501,-0.00707353864359916,-1.06047088204896,-0.192024565251106,-0.75497173847477,-0.092690251313531,-0.937038167472826,"ENSMUSG00000002346"
"89","Slc25a46",0.179405572418744,-0.797155162159973,-0.219469177787516,-0.724637094100411,-0.0446382198329864,-0.695155104204725,-0.103401980746899,-0.710105751562489,"ENSMUSG00000024259"
"90","Slc26a1",0.0945521158981251,1.08774694494538,0.072646275733856,0.782688771920163,-0.241195245651944,0.924836641612601,-0.199420957748817,1.02912401664812,"ENSMUSG00000046959"
"91","Slc39a7",-0.0118420497872194,0.366655632051551,-0.122291834882695,0.525600380484349,0.00982818005135755,0.441888422235397,0.129969255256881,0.666438472007053,"ENSMUSG00000024327"
"92","Slc7a2",-0.475065287435871,-1.69964497001052,0.0260446275451578,-2.13453431381791,-0.670103278451837,-2.72440569237087,-0.595139556435662,-2.05182766474529,"ENSMUSG00000031596"
"93","Slc8b1",-0.415295195083845,-3.27735089405084,-0.410037498201484,-2.54098584835078,-0.395627626926714,-2.68643324895599,-0.368262056526554,-1.97117190866582,"ENSMUSG00000032754"
"94","Snrpa",0.0530779141647955,0.500772994221574,-0.237071258255206,0.821175078439624,0.0874059417171686,0.89519127206218,0.063441268834687,0.718261755105777,"ENSMUSG00000061479"
"95","Srprb",0.0641355941464283,0.941568413630234,0.0288226224320418,1.19255076599634,0.394609671643106,1.43373350622106,-0.223997591095369,0.973206263190356,"ENSMUSG00000032553"
"96","Svil",0.0453707810106962,1.66392394565408,0.0555500847888304,1.71462732548224,0.0375717449021096,1.88879762440295,-0.114008698363371,1.94854912467876,"ENSMUSG00000024236"
"97","Syvn1",0.20956609191877,1.20424789303178,0.584915608319871,1.83076557075475,0.1076553171096,1.59290648101328,-0.376431369633865,1.8683841655166,"ENSMUSG00000024807"
"98","Tgm1",0.0755235520246735,1.17622155828365,-0.0931163287720089,1.52031390210441,-0.0474204441500774,1.02055532748468,-0.144318784687677,1.38663730557392,"ENSMUSG00000022218"
"99","Tgoln1",0.147187583497251,-0.902699038397466,-0.0207546750294973,-0.517596695871725,0.166423722476924,-1.10948785722553,0.187034737516678,-0.719693738610952,"ENSMUSG00000056429"
"100","Thrsp",-0.176025055150909,3.63969108039561,0.00758020321508468,2.54436134289648,1.1361644566997,4.60423000925353,0.912668507187888,3.51863267874641,"ENSMUSG00000035686"
"101","Tkfc",-0.711580729805529,2.37273448713865,-0.170030655643075,1.07779166402171,0.104079497456912,2.68523385175973,-0.235604565670329,1.84185255799066,"ENSMUSG00000034371"
"102","Tmed3",-0.259320880840137,1.57442732471407,0.0947339035712051,1.67539962397187,0.0777993631918914,2.01629564350605,0.338866198139733,1.76418018957497,"ENSMUSG00000032353"
"103","Tuba1c",-0.097720242587819,2.61475021558323,-0.125351879968427,2.37582318036986,0.384357508126261,2.32566685811267,-0.568871932452748,2.25460920073356,"ENSMUSG00000043091"
"104","Tuba4a",-0.293689687387047,0.988199895141372,0.0881029065409926,1.23283104361232,0.178960830012404,1.06673791458897,-0.290865164136417,1.27681952575287,"ENSMUSG00000026202"
"105","Ufl1",0.069698867239989,0.942916211271953,-0.0542760710593164,0.591761870121243,0.243969907164825,0.830172478839831,-0.0905944152403642,1.21062011761766,"ENSMUSG00000040359"
"106","Umps",-0.379007418678093,1.1453170868016,-0.127503597427332,1.16781672445985,-0.15720752111082,1.17889775699076,0.182572512853067,1.34446257918928,"ENSMUSG00000022814"
